Export,Tienda,Área,Periodo,Prod,VtaNeta,JEq,ProdMeta,VtaNetaMeta,JEqMeta,ProdAA,VtaNetaAA,JEqAA,CAPO,CAPO AA,CAPE AA,CAPE
Export,P199 Grifo Kio - PVS,CAJAS,202503,14981614,1850048,0.12348790322580647,0,2035698,Infinity,,2273853,,,,,0.5
Export,1199 San Miguel - PVH,RECEPCIÓN,202505,11256609,5840202,0.5177083333333333,5541106.172152368,5930252,1.0539776767589801,5277244,5370305,1.0176344086021505,1.0,1.0,1.0,1.0
Export,P132 El Ejercito - PVS,INVENTARIOS,202503,9814193,3984839,0.40602822580645165,3341038.1735648657,4020724,1.1926949777255023,3181941,4284223,1.3464180107526882,2.0,2.0,3.0,1.0
Export,1199 San Miguel - PVH,RECEPCIÓN,202503,9610262,6527653,0.6774193548387097,6353000.646591897,6492837,1.0274913136522024,6050477,6218443,1.027654569892473,1.0,1.0,1.0,1.0
Export,P089 Risso - PVH,RECEPCIÓN,202503,9605806,5149693,0.5361021505376344,2827308.638520801,5111690,1.8214118472379548,2692675,5179219,1.9234475806451614,1.0,2.0,2.0,1.0
Export,P134 Centro Civico - PVH,RECEPCIÓN,202505,9088000,5368882,0.5907661290322581,3255837.11924124,5403018,1.6490021623843387,3100797,4985212,1.6070362903225808,2.0,2.0,2.0,1.0
Export,P089 Risso - PVH,RECEPCIÓN,202501,9035301,4453220,0.4926814516129033,2614571.4286129647,4604822,1.7032314632010042,2490068,4512361,1.812143817204301,1.0,2.0,2.0,1.0
Export,P724 Tumbes - PVH,RECEPCIÓN,202503,7683853,8253382,0.9249596774193549,3362714.7529644636,6868134,2.4543806139738966,3202585,6714535,1.9963172043010753,2.0,2.0,2.0,1.0
Export,P115 Huancayo - PVH,RECEPCIÓN,202504,7683738,9300107,1.2098333333333333,2522219.8324570972,10380714,3.687270534598889,2402114,9478346,3.920388888888889,4.0,4.0,4.0,1.0
Export,P132 El Ejercito - PVS,INVENTARIOS,202504,7580238,2474369,0.3264236111111112,1783127.2533333339,2580612,1.387656716801606,1698216,2674691,1.5750000000000002,2.0,2.0,2.0,1.0
Export,P723 Puruchuco - PVH,RECEPCIÓN,202505,7504355,7896871,1.0523051075268819,2488607.393768546,7674858,3.173208839519526,2370102,7214286,3.0438709677419356,3.0,3.0,3.0,1.0
Export,P723 Puruchuco - PVH,RECEPCIÓN,202506,7199487,7238123,0.9974027777777779,4048596.3499976173,8041615,1.7878104790575777,3855806,7865898,2.0400138888888892,3.0,3.0,2.0,1.0
Export,V094 Benavides - VIV,RECEPCIÓN,202502,6840906,3045628,0.4452083333333334,1430116.7821983611,2907850,2.129636032463231,1362016,2908726,2.1356034482758623,2.0,2.0,2.0,1.0
