Export,Tienda,Área,Periodo,Prod,VtaNeta,JEq,ProdMeta,VtaNetaMeta,JEqMeta,ProdAA,VtaNetaAA,JEqAA,CAPO,CAPO AA,CAPE AA,CAPE
Export,P192 Sullana - PVH,INVENTARIOS,202510,23289002,2109001,0.09055779569892473,1197672.73006993,2635673,1.7609156717435313,1140641,2163860,1.8970564516129036,2.0,2.0,2.0,
Export,P192 Sullana - PVH,INVENTARIOS,202509,22737433,2117739,0.0931388888888889,1293036.5273492285,2590902,1.6378030977527311,1231463,2304838,1.8716250000000003,2.0,2.0,2.0,2.0
Export,SO04 Jaen - PVO,INVENTARIOS,202512,15314483,10278472,0.6702688172043008,12050471.170871438,10111562,0.8529518708650381,11476639,9436304,0.8178427419354839,2.0,2.0,2.0,2.0
Export,SO06 Tarapoto 2 - PVO,ALMACÉN FRESCOS,202512,15067223,1135916,0.07526881720430108,0,,Infinity,,,,1.0,,,1.0
Export,P229 Salaverry - PVH,INVENTARIOS,202512,14178359,9562674,0.6744556451612904,10937236.261013705,10280759,0.8743227312448763,10416415,9226162,0.8854435483870968,2.0,3.0,2.0,1.5
Export,P223 Cusco Mall - PVH,INVENTARIOS,202512,12921380,11538224,0.8877016129032255,11247976.035979662,13009248,1.0258044169983918,10712358,11679986,1.082600806451613,3.0,3.0,3.0,2.0
Export,P723 Puruchuco - PVH,RECEPCIÓN,202512,12446091,13558284,1.089422043010748,4919809.984452598,13272640,2.7558552043364255,4685533,12374027,2.640900537634409,3.0,3.0,3.0,1.0
Export,P147 Juliaca - PVH,INVENTARIOS,202512,12019418,13235310,0.8881720430107519,11317395.38003539,9915938,1.1694660763860858,10778472,12411762,0.9038844086021506,2.0,2.0,2.0,2.0
Export,P134 Centro Civico - PVH,RECEPCIÓN,202511,11889915,5785599,0.4865972222222224,3552943.8211287316,5478116,1.6283959925271148,3383756,5642601,1.6675555555555557,2.0,2.0,2.0,1.0
Export,P119 Puente Piedra - PVH,INVENTARIOS,202512,11493618,12990545,1.1303024193548383,9404737.81109997,13435391,1.3812766725583643,8956893,12188507,1.3604368279569892,2.0,3.0,3.0,3.0
Export,P723 Puruchuco - PVH,RECEPCIÓN,202509,11351882,6744891,0.5890694444444445,2898016.454545454,6833857,2.327416374541572,2760016,7033659,2.5410000000000004,3.0,3.0,3.0,1.0
Export,P231 Ventanilla - PVH,RECEPCIÓN,202509,10817253,5791061,0.5353541666666667,4232148.888108583,6381448,1.3683501155338895,4030618,5803138,1.4397638888888888,2.5,2.5,2.0,1.5
Export,P145 Piura - PVH,INVENTARIOS,202512,10736349,12843527,1.1957862903225793,9669084.124071488,13084169,1.3283085217994575,9208652,12426916,1.3476881720430107,3.0,3.0,3.0,3.0
Export,P068 Primavera - PVH,RECEPCIÓN,202511,10329963,5724265,0.45752777777777787,1731823.872647785,4875858,3.305339197829725,1649356,5109456,3.0689166666666674,2.5,3.5,3.5,0.5
Export,P126 Santa Clara - PVH,INVENTARIOS,202512,10300885,13257929,1.2870497311827949,15912767.521639157,11402279,0.8331629669051003,15155017,12526314,0.8265456989247312,3.0,3.0,2.0,2.5
Export,P115 Huancayo - PVH,INVENTARIOS,202512,9918461,12798142,1.2867674731182783,11869513.861132827,13103422,1.0782364248217444,11304299,12845413,1.13119623655914,3.0,3.0,3.0,3.0
Export,P723 Puruchuco - PVH,RECEPCIÓN,202511,9216898,8791064,0.9537986111111111,3197065.03461282,7559131,2.749729587863902,3044824,7772582,2.551840277777778,3.0,3.0,3.0,1.0
Export,P146 Tacna - PVH,INVENTARIOS,202512,9197232,13268296,1.2189784946236557,9180843.739842582,11617080,1.4452153054755619,8743661,13303950,1.3567674731182797,3.0,3.0,3.0,3.0
Export,P068 Primavera - PVH,RECEPCIÓN,202512,9102684,7646367,0.6985887096774194,2097157.545352305,6845366,3.6460620504862806,1997293,6975956,3.455073924731183,2.5,3.5,3.5,1.0
Export,1593 Aventura SJL - PVH,INVENTARIOS,202512,8727103,7783913,0.8917473118279566,5117513.869794721,5777404,1.5210341189192003,4873823,7271134,1.4918750000000003,2.0,2.0,3.0,2.0
