Export,Tienda,Área,Periodo,Prod,VtaNeta,JEq,ProdMeta,VtaNetaMeta,JEqMeta,ProdAA,VtaNetaAA,JEqAA,CAPO,CAPO AA,CAPE AA,CAPE
Export,P132 El Ejercito - PVS,RECEPCIÓN,202604,41508232,3010500,0.07252777777777777,1252355.6544481555,3053678,2.4383469406265332,1765867,2984682,1.6902083333333335,3.0,3.0,2.0,
Export,P723 Puruchuco - PVH,RECEPCIÓN,202601,13685484,8108166,0.5926008064516131,2614271.5941074113,6940427,2.6548224147191806,3685587,7348758,1.9939180107526884,3.0,3.0,2.0,1.0
Export,P465 Sucre - PVH,RECEPCIÓN,202605,13086951,9709352,0.7409274193548384,5318450.802335599,9189569,1.7278656974253472,5626967,9138898,1.6186559139784948,2.0,2.5,2.0,1.0
Export,P139 Alameda Sur - PVS,RECEPCIÓN,202604,12680926,6576733,0.5186319444444444,7844234.472591226,6375655,0.8127823135421778,2402204,6066983,2.525590277777778,1.0,3.0,3.0,1.0
Export,P465 Sucre - PVH,RECEPCIÓN,202601,11349102,8421251,0.7409274193548387,5643777.995321494,9751690,1.7278656974253472,4639432,9172575,1.967997311827957,2.0,2.5,2.0,1.0
Export,P465 Sucre - PVH,RECEPCIÓN,202604,11153899,9259332,0.8291597222222217,5318769.627346606,9190120,1.7278656974253472,4559541,8872846,1.9376875,2.0,2.5,2.0,1.0
Export,P139 Alameda Sur - PVS,RECEPCIÓN,202605,10603781,6795114,0.6408198924731183,7875989.914940254,6401465,0.8127823135421778,2362177,6136818,2.5979502688172045,1.0,3.0,3.0,1.0
Export,SO06 Tarapoto 2 - PVO,INVENTARIOS,202605,10256845,5114883,0.49658602150537634,1834123.259333333,5502370,3,,,,2.5,,,2.0
Export,P180 Centro Trujillo - PVE,CAJAS,202604,10244775,672313,0.065625,,700085,,175007,729144,4.166361111111112,,,,
Export,P723 Puruchuco - PVH,RECEPCIÓN,202605,9775051,8976135,0.9184677419354841,3158830.9607846444,8386135,2.6548224147191806,7504355,7896871,1.0523051075268819,3.0,3.0,1.0,1.0
Export,P139 Alameda Sur - PVS,RECEPCIÓN,202603,9514108,7288715,0.766095430107527,9290521.040241787,7551171,0.8127823135421778,2072239,6146098,2.9659206989247315,1.0,3.0,3.0,1.0
Export,P723 Puruchuco - PVH,RECEPCIÓN,202603,9497140,9971997,1.0500000000000003,3485326.8939944315,9252924,2.6548224147191806,3816277,7663921,2.0082190860215055,3.0,3.0,2.0,1.0
Export,P223 Cusco Mall - PVH,RECEPCIÓN,202603,8451195,11424269,1.3521102150537636,3019107.99315672,10813775,3.5817781230453205,3486265,10544498,3.024583333333334,4.0,4.0,4.0,1.5
Export,P723 Puruchuco - PVH,RECEPCIÓN,202602,8043923,8631698,1.0732812500000002,2627526.8892657217,6975617,2.6548224147191806,3033209,5721232,1.8861979166666667,3.0,3.0,2.0,1.0
Export,P723 Puruchuco - PVH,RECEPCIÓN,202604,7941666,8590564,1.0787777777777778,2832704.6646151952,7520328,2.6548224147191806,6700125,7178766,1.0714375,3.0,3.0,1.0,1.0
