Tienda,Periodo,GOS,GOR,Prod,VtaNeta,JEq,ProdMeta,CAPO *,CAPE *,JEqMeta,VtaNetaMeta
P193 Trujillo Mansiche - PVS,202603,Fátima L,Fátima L,231397,2819804,12.185974462365591,196971.9495580317,13.5,12.5,11.712938172043014,2307120
SO04 Jaen - PVO,202512,Sofía V,José A,168662,11242205,66.65519489247315,165116.40032409818,61.0,60.0,68.08654317762057,10874860
SO04 Jaen - PVO,202412,Sofía V,José A,157254,10216673,64.96936155913978,0,61.0,60.0,,0
P193 Trujillo Mansiche - PVS,202602,Fátima L,Fátima L,156793,2231847,14.234375,112215.14865819039,13.5,12.5,11.712938172043014,1314369
SO03 Huanuco - PVO,202512,Sofía V,José A,152023,12410132,81.63312499999995,155721.15773041456,76.5,80.0,79.69457876420684,12395481
P126 Santa Clara - PVH,202512,Sebastián S,Rodolfo O,149997,14846040,98.97581317204298,137436.16986313357,98.5,96.5,108.02134870889154,13004058
SO03 Huanuco - PVO,202412,Sofía V,José A,148306,11554754,77.91164650537625,0,76.5,80.0,,0
P115 Huancayo - PVH,202512,Sofía V,José A,148172,14947539,100.87969086021506,128117.49505500619,107.5,102.5,116.67054919847129,15172611
P333 Ves Placita - PVH,202512,Sebastián S,Rodolfo O,146609,9800042,66.84454301075264,141844.29871168037,68.5,66.0,69.09013770035301,9481770
P126 Santa Clara - PVH,202605,Sebastián S,Rodolfo O,145442,12491601,85.88722446236552,126657.92363845374,98.5,96.5,87.16666928327976,11040349
SO04 Jaen - PVO,202509,Sofía V,José A,144974,7417710,51.165625000000034,129361.03705071122,61.0,60.0,57.341144050137444,6777060
P119 Puente Piedra - PVH,202603,Sebastián S,Vik E,144485,13261296,91.78298387096781,142204.97606273938,100.0,98.0,86.39328487126737,12285555
SO04 Jaen - PVO,202508,Sofía V,José A,143232,7863466,54.90013440860217,142027.0621382068,61.0,60.0,55.36596907389417,7682985
SO04 Jaen - PVO,202603,Sofía V,José A,142561,8567236,60.09528225806456,147717.36571248787,61.0,60.0,53.7842448352594,7944867
1593 Aventura SJL - PVH,202512,Sebastián S,Rodolfo O,142272,9289009,65.29066532258062,138025.28509040302,65.5,63.0,67.29932507595214,7052136
P114 Pro - PVH,202512,Sebastián S,Vik E,141763,12739505,89.86494623655905,136681.66059027638,88.0,84.0,93.20566179093014,13496921
SO04 Jaen - PVO,202605,Sofía V,José A,140094,7723581,55.13139784946287,135865.92528876505,61.0,60.0,53.7842448352594,7307446
SO04 Jaen - PVO,202407,Sofía V,José A,139767,7797596,55.790000000000006,0,61.0,60.0,,0
P119 Puente Piedra - PVH,202512,Sebastián S,Vik E,139743,14990129,107.26902553763429,137467.68227681305,100.0,98.0,109.04475038587607,15246951
