Fecha,Codigo Local,Tipo Venta,Codigo Division,Nombre Division,Codigo Area,Nombre Area,Venta Neta,Venta Neta DA,Venta Neta FA,Venta Unidad,Venta Unidad DA,Venta Unidad FA
2026-06-01 00:00:00,1199,Delivery,D1,ABARROTES,A01,COMESTIBLES,0.00,96.37,292.91,0.00,10.00,38.00
2026-06-01 00:00:00,1199,Delivery,D1,ABARROTES,A02,BEBIDAS,0.00,63.47,102.76,0.00,6.00,11.00
2026-06-01 00:00:00,1199,Delivery,D1,ABARROTES,A03,CUIDADO PERSONAL Y LIMPIEZA,0.00,48.65,35.02,0.00,4.00,3.00
2026-06-01 00:00:00,1199,Delivery,D1,ABARROTES,A04,LACTEOS Y CONGELADOS,16.78,109.39,163.31,1.00,10.00,12.00
2026-06-01 00:00:00,1199,Delivery,D2,FRESCOS,A05,FIAMBRES Y QUESOS,0.00,12.63,50.26,0.00,1.00,2.36
2026-06-01 00:00:00,1199,Delivery,D2,FRESCOS,A06,FRUTAS Y VERDURAS,58.60,16.88,4.89,11.00,5.00,0.92
2026-06-01 00:00:00,1199,Delivery,D2,FRESCOS,A07,CARNES,0.00,34.83,49.09,0.00,4.00,1.42
2026-06-01 00:00:00,1199,Delivery,D2,FRESCOS,A08,PESCADOS Y MARISCOS,0.00,0.00,59.68,0.00,0.00,1.60
2026-06-01 00:00:00,1199,Delivery,D2,FRESCOS,A09,COMIDAS PREPARADAS,0.00,0.00,52.04,0.00,0.00,3.00
2026-06-01 00:00:00,1199,Delivery,D2,FRESCOS,A10,PANADERIA Y PASTELERIA,0.00,8.48,3.75,0.00,2.00,1.00
2026-06-01 00:00:00,1199,Delivery,D3,NON FOOD,A13,BAZAR,0.00,12.63,0.00,0.00,1.00,0.00
2026-06-01 00:00:00,P010,Delivery,D1,ABARROTES,A01,COMESTIBLES,0.00,385.05,308.11,0.00,58.00,47.00
2026-06-01 00:00:00,P010,Delivery,D1,ABARROTES,A02,BEBIDAS,17.03,94.10,248.04,3.00,17.00,36.00
2026-06-01 00:00:00,P010,Delivery,D1,ABARROTES,A03,CUIDADO PERSONAL Y LIMPIEZA,9.24,147.83,144.28,1.00,12.00,10.00
2026-06-01 00:00:00,P010,Delivery,D1,ABARROTES,A04,LACTEOS Y CONGELADOS,0.00,455.14,572.09,0.00,36.00,45.00
2026-06-01 00:00:00,P010,Delivery,D2,FRESCOS,A05,FIAMBRES Y QUESOS,0.00,122.69,73.14,0.00,9.89,5.24
2026-06-01 00:00:00,P010,Delivery,D2,FRESCOS,A06,FRUTAS Y VERDURAS,6.70,283.70,226.50,2.25,87.26,35.05
2026-06-01 00:00:00,P010,Delivery,D2,FRESCOS,A07,CARNES,0.00,297.88,148.20,0.00,22.66,12.31
2026-06-01 00:00:00,P010,Delivery,D2,FRESCOS,A08,PESCADOS Y MARISCOS,0.00,0.00,35.56,0.00,0.00,1.00
2026-06-01 00:00:00,P010,Delivery,D2,FRESCOS,A09,COMIDAS PREPARADAS,0.00,33.22,138.10,0.00,4.00,9.00
2026-06-01 00:00:00,P010,Delivery,D2,FRESCOS,A10,PANADERIA Y PASTELERIA,0.00,44.31,56.32,0.00,6.47,11.34
2026-06-01 00:00:00,P010,Delivery,D3,NON FOOD,A13,BAZAR,0.00,13.98,0.00,0.00,1.00,0.00
2026-06-01 00:00:00,P048,Delivery,D1,ABARROTES,A01,COMESTIBLES,61.01,227.68,257.05,11.00,43.00,44.00
2026-06-01 00:00:00,P048,Delivery,D1,ABARROTES,A02,BEBIDAS,0.00,145.25,249.62,0.00,10.00,16.00
2026-06-01 00:00:00,P048,Delivery,D1,ABARROTES,A03,CUIDADO PERSONAL Y LIMPIEZA,68.15,55.65,249.90,5.00,6.00,18.00
2026-06-01 00:00:00,P048,Delivery,D1,ABARROTES,A04,LACTEOS Y CONGELADOS,146.03,311.39,450.10,11.00,29.00,33.00
2026-06-01 00:00:00,P048,Delivery,D2,FRESCOS,A05,FIAMBRES Y QUESOS,11.44,66.70,73.38,1.00,7.00,6.00
2026-06-01 00:00:00,P048,Delivery,D2,FRESCOS,A06,FRUTAS Y VERDURAS,86.39,138.92,137.77,16.26,50.62,31.21
2026-06-01 00:00:00,P048,Delivery,D2,FRESCOS,A07,CARNES,17.75,203.06,405.01,2.00,17.68,26.40
2026-06-01 00:00:00,P048,Delivery,D2,FRESCOS,A09,COMIDAS PREPARADAS,0.00,0.00,41.36,0.00,0.00,4.00
2026-06-01 00:00:00,P048,Delivery,D2,FRESCOS,A10,PANADERIA Y PASTELERIA,0.00,7.28,23.48,0.00,2.00,5.00
2026-06-01 00:00:00,P048,Delivery,D3,NON FOOD,A13,BAZAR,0.00,0.00,20.26,0.00,0.00,6.00
2026-06-01 00:00:00,P061,Delivery,D1,ABARROTES,A01,COMESTIBLES,29.33,137.85,257.70,3.00,21.00,40.00
2026-06-01 00:00:00,P061,Delivery,D1,ABARROTES,A02,BEBIDAS,3.39,35.25,374.53,2.00,8.00,34.00
2026-06-01 00:00:00,P061,Delivery,D1,ABARROTES,A03,CUIDADO PERSONAL Y LIMPIEZA,24.92,218.16,176.40,3.00,19.00,15.00
2026-06-01 00:00:00,P061,Delivery,D1,ABARROTES,A04,LACTEOS Y CONGELADOS,153.31,373.35,433.77,12.00,33.00,38.00
2026-06-01 00:00:00,P061,Delivery,D2,FRESCOS,A05,FIAMBRES Y QUESOS,27.96,202.62,127.24,1.29,16.31,16.00
2026-06-01 00:00:00,P061,Delivery,D2,FRESCOS,A06,FRUTAS Y VERDURAS,0.00,301.49,168.90,0.00,72.29,33.38
2026-06-01 00:00:00,P061,Delivery,D2,FRESCOS,A07,CARNES,22.87,292.88,177.74,0.61,24.24,10.60
2026-06-01 00:00:00,P061,Delivery,D2,FRESCOS,A09,COMIDAS PREPARADAS,0.00,5.59,44.08,0.00,1.00,4.00
2026-06-01 00:00:00,P061,Delivery,D2,FRESCOS,A10,PANADERIA Y PASTELERIA,0.00,6.51,47.71,0.00,1.41,7.27
2026-06-01 00:00:00,P061,Delivery,D3,NON FOOD,A13,BAZAR,0.00,11.69,22.68,0.00,1.00,1.00
2026-06-01 00:00:00,P064,Delivery,D1,ABARROTES,A01,COMESTIBLES,20.42,0.00,0.00,4.00,0.00,0.00
2026-06-01 00:00:00,P064,Delivery,D1,ABARROTES,A02,BEBIDAS,10.17,0.00,0.00,1.00,0.00,0.00
2026-06-01 00:00:00,P064,Delivery,D1,ABARROTES,A03,CUIDADO PERSONAL Y LIMPIEZA,7.20,0.00,0.00,1.00,0.00,0.00
2026-06-01 00:00:00,P064,Delivery,D1,ABARROTES,A04,LACTEOS Y CONGELADOS,52.54,0.00,0.00,5.00,0.00,0.00
2026-06-01 00:00:00,P064,Delivery,D2,FRESCOS,A05,FIAMBRES Y QUESOS,10.51,0.00,0.00,1.00,0.00,0.00
2026-06-01 00:00:00,P064,Delivery,D2,FRESCOS,A06,FRUTAS Y VERDURAS,86.54,0.00,0.00,19.51,0.00,0.00
2026-06-01 00:00:00,P064,Delivery,D2,FRESCOS,A07,CARNES,18.55,0.00,0.00,2.08,0.00,0.00
2026-06-01 00:00:00,P064,Delivery,D2,FRESCOS,A09,COMIDAS PREPARADAS,5.00,0.00,0.00,1.00,0.00,0.00
2026-06-01 00:00:00,P068,Delivery,D1,ABARROTES,A01,COMESTIBLES,19.24,123.68,50.89,1.00,29.00,10.00
2026-06-01 00:00:00,P068,Delivery,D1,ABARROTES,A02,BEBIDAS,38.12,50.09,54.31,1.00,4.00,12.00
2026-06-01 00:00:00,P068,Delivery,D1,ABARROTES,A03,CUIDADO PERSONAL Y LIMPIEZA,59.08,62.63,45.84,7.00,5.00,5.00
2026-06-01 00:00:00,P068,Delivery,D1,ABARROTES,A04,LACTEOS Y CONGELADOS,19.84,349.85,231.23,2.00,28.00,26.00
2026-06-01 00:00:00,P068,Delivery,D2,FRESCOS,A05,FIAMBRES Y QUESOS,7.97,42.43,77.14,1.00,3.25,6.00
2026-06-01 00:00:00,P068,Delivery,D2,FRESCOS,A06,FRUTAS Y VERDURAS,0.00,156.58,52.61,0.00,41.41,9.42
2026-06-01 00:00:00,P068,Delivery,D2,FRESCOS,A07,CARNES,0.00,143.10,62.77,0.00,11.68,6.00
2026-06-01 00:00:00,P068,Delivery,D2,FRESCOS,A09,COMIDAS PREPARADAS,0.00,5.27,38.85,0.00,1.00,3.00
2026-06-01 00:00:00,P068,Delivery,D2,FRESCOS,A10,PANADERIA Y PASTELERIA,0.00,8.21,16.89,0.00,1.52,3.05
2026-06-01 00:00:00,P068,Delivery,D3,NON FOOD,A13,BAZAR,0.00,0.00,24.15,0.00,0.00,1.00
2026-06-01 00:00:00,P106,Delivery,D1,ABARROTES,A01,COMESTIBLES,63.64,248.10,283.10,14.00,42.00,38.00
2026-06-01 00:00:00,P106,Delivery,D1,ABARROTES,A02,BEBIDAS,39.15,19.58,136.37,3.00,3.00,18.00
2026-06-01 00:00:00,P106,Delivery,D1,ABARROTES,A03,CUIDADO PERSONAL Y LIMPIEZA,51.61,106.15,117.60,3.00,9.00,7.00
2026-06-01 00:00:00,P106,Delivery,D1,ABARROTES,A04,LACTEOS Y CONGELADOS,109.32,399.80,591.94,12.00,33.00,48.00
2026-06-01 00:00:00,P106,Delivery,D2,FRESCOS,A05,FIAMBRES Y QUESOS,40.54,113.45,65.08,2.40,14.40,7.00
2026-06-01 00:00:00,P106,Delivery,D2,FRESCOS,A06,FRUTAS Y VERDURAS,57.24,205.11,117.96,14.85,35.17,23.41
2026-06-01 00:00:00,P106,Delivery,D2,FRESCOS,A07,CARNES,22.32,222.20,43.06,0.60,11.32,4.00
2026-06-01 00:00:00,P106,Delivery,D2,FRESCOS,A08,PESCADOS Y MARISCOS,0.00,24.10,27.40,0.00,1.00,1.00
2026-06-01 00:00:00,P106,Delivery,D2,FRESCOS,A09,COMIDAS PREPARADAS,5.00,14.52,94.83,1.00,2.00,5.00
2026-06-01 00:00:00,P106,Delivery,D2,FRESCOS,A10,PANADERIA Y PASTELERIA,11.45,18.45,48.84,2.43,3.82,9.90
