codigo_local,Periodo,DpPv,DpPv_Lv4,Tienda,Division,Area,Real,Ppto
1198,2026-01,Digital,E-Commerce,1198_Cusco Wanchaq - PVH,ABARROTES D1,BEBIDAS A02,0.00,11.11
1198,2026-01,Digital,E-Commerce,1198_Cusco Wanchaq - PVH,ABARROTES D1,COMESTIBLES A01,0.00,23.10
1198,2026-01,Digital,E-Commerce,1198_Cusco Wanchaq - PVH,ABARROTES D1,CUIDADO PERSONAL Y LIMPIEZA A03,0.00,18.17
1198,2026-01,Digital,E-Commerce,1198_Cusco Wanchaq - PVH,ABARROTES D1,LACTEOS A04,0.00,2.59
1198,2026-01,Digital,E-Commerce,1198_Cusco Wanchaq - PVH,FRESCOS D2,COMIDAS PREPARADAS A09,,
1198,2026-01,Digital,E-Commerce,1198_Cusco Wanchaq - PVH,FRESCOS D2,FRUTAS Y VERDURAS A06,,
1198,2026-01,Digital,E-Commerce,1198_Cusco Wanchaq - PVH,FRESCOS D2,PANADERIA Y PASTELERIA A10,,
1198,2026-01,Digital,E-Commerce,1198_Cusco Wanchaq - PVH,NON FOOD D3,BAZAR A13,"1,112.05",272.07
1198,2026-01,Digital,E-Commerce,1198_Cusco Wanchaq - PVH,NON FOOD D3,ELECTRO A11,"68,162.86","78,685.12"
1198,2026-01,Digital,E-Commerce,1198_Cusco Wanchaq - PVH,NON FOOD D3,HOGAR A15,510.24,741.54
1198,2026-01,Digital,E-Commerce,1198_Cusco Wanchaq - PVH,NON FOOD D3,TEXTIL A12,1.70,0.00
1198,2026-01,Tienda,Centro de Negocio,1198_Cusco Wanchaq - PVH,NON FOOD D3,ELECTRO A11,,
1198,2026-01,Tienda,Tienda,1198_Cusco Wanchaq - PVH,ABARROTES D1,BEBIDAS A02,"252,184.51","178,803.88"
1198,2026-01,Tienda,Tienda,1198_Cusco Wanchaq - PVH,ABARROTES D1,COMESTIBLES A01,"505,243.71","374,211.52"
1198,2026-01,Tienda,Tienda,1198_Cusco Wanchaq - PVH,ABARROTES D1,CUIDADO PERSONAL Y LIMPIEZA A03,"426,619.09","392,144.60"
1198,2026-01,Tienda,Tienda,1198_Cusco Wanchaq - PVH,ABARROTES D1,LACTEOS A04,"250,513.46","201,805.10"
1198,2026-01,Tienda,Tienda,1198_Cusco Wanchaq - PVH,FRESCOS D2,CARNES A07,"316,985.42","119,826.10"
1198,2026-01,Tienda,Tienda,1198_Cusco Wanchaq - PVH,FRESCOS D2,COMIDAS PREPARADAS A09,"72,182.36","45,972.54"
1198,2026-01,Tienda,Tienda,1198_Cusco Wanchaq - PVH,FRESCOS D2,CONGELADOS A16,"34,806.72","43,805.09"
1198,2026-01,Tienda,Tienda,1198_Cusco Wanchaq - PVH,FRESCOS D2,FIAMBRES Y QUESOS A05,"76,089.10","68,329.62"
1198,2026-01,Tienda,Tienda,1198_Cusco Wanchaq - PVH,FRESCOS D2,FRUTAS Y VERDURAS A06,"89,551.37","102,477.81"
1198,2026-01,Tienda,Tienda,1198_Cusco Wanchaq - PVH,FRESCOS D2,PANADERIA Y PASTELERIA A10,"66,267.55","49,918.62"
1198,2026-01,Tienda,Tienda,1198_Cusco Wanchaq - PVH,FRESCOS D2,PESCADOS Y MARISCOS A08,"19,384.58","16,557.48"
1198,2026-01,Tienda,Tienda,1198_Cusco Wanchaq - PVH,MISCELANEOS D4,MISCELANEOS A14,"10,201.65","5,665.52"
1198,2026-01,Tienda,Tienda,1198_Cusco Wanchaq - PVH,NA Producto,NA Producto,0.00,0.00
1198,2026-01,Tienda,Tienda,1198_Cusco Wanchaq - PVH,No Gestionables PA40,No Gestionables PB140,"-2,409.27",0.00
1198,2026-01,Tienda,Tienda,1198_Cusco Wanchaq - PVH,NON FOOD D3,BAZAR A13,"156,204.57","102,253.84"
1198,2026-01,Tienda,Tienda,1198_Cusco Wanchaq - PVH,NON FOOD D3,ELECTRO A11,"155,441.85","324,617.47"
1198,2026-01,Tienda,Tienda,1198_Cusco Wanchaq - PVH,NON FOOD D3,HOGAR A15,"100,449.72","116,922.08"
1198,2026-01,Tienda,Tienda,1198_Cusco Wanchaq - PVH,NON FOOD D3,TEXTIL A12,"121,375.69","115,812.63"
1198,2026-02,Digital,E-Commerce,1198_Cusco Wanchaq - PVH,ABARROTES D1,BEBIDAS A02,,
1198,2026-02,Digital,E-Commerce,1198_Cusco Wanchaq - PVH,ABARROTES D1,COMESTIBLES A01,,
1198,2026-02,Digital,E-Commerce,1198_Cusco Wanchaq - PVH,ABARROTES D1,CUIDADO PERSONAL Y LIMPIEZA A03,,
1198,2026-02,Digital,E-Commerce,1198_Cusco Wanchaq - PVH,ABARROTES D1,LACTEOS A04,,
1198,2026-02,Digital,E-Commerce,1198_Cusco Wanchaq - PVH,FRESCOS D2,COMIDAS PREPARADAS A09,,
1198,2026-02,Digital,E-Commerce,1198_Cusco Wanchaq - PVH,FRESCOS D2,FRUTAS Y VERDURAS A06,,
1198,2026-02,Digital,E-Commerce,1198_Cusco Wanchaq - PVH,FRESCOS D2,PANADERIA Y PASTELERIA A10,,
1198,2026-02,Digital,E-Commerce,1198_Cusco Wanchaq - PVH,NON FOOD D3,BAZAR A13,"1,145.56",533.55
1198,2026-02,Digital,E-Commerce,1198_Cusco Wanchaq - PVH,NON FOOD D3,ELECTRO A11,"93,268.44","85,742.54"
1198,2026-02,Digital,E-Commerce,1198_Cusco Wanchaq - PVH,NON FOOD D3,HOGAR A15,"1,519.26","1,733.78"
1198,2026-02,Digital,E-Commerce,1198_Cusco Wanchaq - PVH,NON FOOD D3,TEXTIL A12,,
1198,2026-02,Tienda,Centro de Negocio,1198_Cusco Wanchaq - PVH,NON FOOD D3,ELECTRO A11,,
1198,2026-02,Tienda,Tienda,1198_Cusco Wanchaq - PVH,ABARROTES D1,BEBIDAS A02,"221,100.05","160,516.83"
1198,2026-02,Tienda,Tienda,1198_Cusco Wanchaq - PVH,ABARROTES D1,COMESTIBLES A01,"463,229.73","308,021.96"
1198,2026-02,Tienda,Tienda,1198_Cusco Wanchaq - PVH,ABARROTES D1,CUIDADO PERSONAL Y LIMPIEZA A03,"378,255.42","334,176.06"
1198,2026-02,Tienda,Tienda,1198_Cusco Wanchaq - PVH,ABARROTES D1,LACTEOS A04,"230,822.34","165,247.57"
1198,2026-02,Tienda,Tienda,1198_Cusco Wanchaq - PVH,FRESCOS D2,CARNES A07,"327,053.06","100,830.29"
1198,2026-02,Tienda,Tienda,1198_Cusco Wanchaq - PVH,FRESCOS D2,COMIDAS PREPARADAS A09,"64,446.72","42,230.55"
1198,2026-02,Tienda,Tienda,1198_Cusco Wanchaq - PVH,FRESCOS D2,CONGELADOS A16,"30,694.24","39,011.15"
1198,2026-02,Tienda,Tienda,1198_Cusco Wanchaq - PVH,FRESCOS D2,FIAMBRES Y QUESOS A05,"64,422.11","56,701.32"
1198,2026-02,Tienda,Tienda,1198_Cusco Wanchaq - PVH,FRESCOS D2,FRUTAS Y VERDURAS A06,"67,423.47","84,518.28"
1198,2026-02,Tienda,Tienda,1198_Cusco Wanchaq - PVH,FRESCOS D2,PANADERIA Y PASTELERIA A10,"61,638.32","44,609.44"
1198,2026-02,Tienda,Tienda,1198_Cusco Wanchaq - PVH,FRESCOS D2,PESCADOS Y MARISCOS A08,"16,835.36","13,286.28"
