Fecha	Formato Agrupado	nombre_division	nombre_area	nombre_seccion	Temporada	Regional	Supervisor	Nombre	Departamento	Ubicacion	Cluster	nombre_estado_cia	Stock Unidad	Stock Valorizado	DOH	DOH Unidad
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS CON ALCOHOL	Fiestas Patrias	MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Activo	1846	13753.3	117.56	
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS CON ALCOHOL	In & Out	MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Activo	252	4300.4	136.38	
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS CON ALCOHOL	Navidad	MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Activo	0	0		
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS CON ALCOHOL	Toda Temporada	MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Activo	187825	3975108	69.58	
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS CON ALCOHOL	In & Out	MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Activo Menor a 28 Dias	39	665.5	136.02	
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS CON ALCOHOL	Toda Temporada	MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Activo Menor a 28 Dias	2239	58770.1	140.64	
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS CON ALCOHOL	Navidad	MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Creado	0	0		
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS CON ALCOHOL	Toda Temporada	MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Creado	175	999.6	144.59	
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS CON ALCOHOL	Toda Temporada	MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Inactivo	6	13.4	10.46	
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS CON ALCOHOL	In & Out	MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Obsoleto	0	0		
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS CON ALCOHOL	Navidad	MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Obsoleto	0	0		
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS CON ALCOHOL	Toda Temporada	MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Obsoleto	1235	6468.2	24.09	
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS CON ALCOHOL	In & Out	MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Por Activar	0	0		
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS CON ALCOHOL	Navidad	MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Por Activar	0	0		
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS CON ALCOHOL	Toda Temporada	MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Por Activar	0	0		
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS CON ALCOHOL	In & Out	MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Suprimido	0	0		
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS CON ALCOHOL	Toda Temporada	MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Suprimido	5858	81674	66.43	
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS SIN ALCOHOL	Toda Temporada	MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Activo	364376	1440178.6	20.31	
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS SIN ALCOHOL	In & Out	MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Activo Menor a 28 Dias	0	0		
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS SIN ALCOHOL	Toda Temporada	MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Activo Menor a 28 Dias	8928	37701.4	84.19	
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS SIN ALCOHOL	Toda Temporada	MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Creado	26	58.1	74.12	
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS SIN ALCOHOL		MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Obsoleto	0	0		
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS SIN ALCOHOL	Toda Temporada	MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Obsoleto	5233	16011.5	19.13	
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS SIN ALCOHOL	In & Out	MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Por Activar	0	0		
	PLAZA VEA	ABARROTES	BEBIDAS	BEBIDAS SIN ALCOHOL	Toda Temporada	MINI - TBD	MINI - TBD	Villa Marina - PVS	Lima	Lima + Callao	C1	Por Activar	0	0	0	
