nombre_division,nombre_area,nombre_seccion,nombre_linea,nombre_familia,nombre_subFamilia
,,,,,
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,CERVEZA,,
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,CERVEZA,CERVEZA IMPORTADA,ARTESANAL
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,CERVEZA,CERVEZA IMPORTADA,BOTELLA
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,CERVEZA,CERVEZA IMPORTADA,BOTELLA UN
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,CERVEZA,CERVEZA IMPORTADA,LATA
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,CERVEZA,CERVEZA IMPORTADA,LATA UN
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,CERVEZA,CERVEZA IMPORTADA,RETORNABLE
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,CERVEZA,CERVEZA IMPORTADA,RUBIA
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,CERVEZA,CERVEZA NACIONAL,ARTESANAL
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,CERVEZA,CERVEZA NACIONAL,BOTELLA
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,CERVEZA,CERVEZA NACIONAL,BOTELLA UN
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,CERVEZA,CERVEZA NACIONAL,LATA
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,CERVEZA,CERVEZA NACIONAL,LATA UN
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,CERVEZA,CERVEZA NACIONAL,NEGRA
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,CERVEZA,CERVEZA NACIONAL,RETORNABLE
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,CERVEZA,CERVEZA NACIONAL,RUBIA
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,ESPUMANTE,,
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,ESPUMANTE,DULCES,ARGENTINA
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,ESPUMANTE,DULCES,CHILE
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,ESPUMANTE,DULCES,ESPANA
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,ESPUMANTE,DULCES,ITALIA
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,ESPUMANTE,DULCES,OTROS PAISES
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,ESPUMANTE,DULCES,PERU
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,ESPUMANTE,SECOS,ARGENTINA
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,ESPUMANTE,SECOS,ESPANA
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,ESPUMANTE,SECOS,FRANCIA
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,ESPUMANTE,SECOS,ITALIA
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,ESPUMANTE,SECOS,OTROS PAISES
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,ESPUMANTE,SECOS,PERU
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,ESPUMANTE,SEMISECOS,ARGENTINA
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,ESPUMANTE,SEMISECOS,ESPANA
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,ESPUMANTE,SEMISECOS,ITALIA
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,ESPUMANTE,SEMISECOS,OTROS PAISES
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,ESPUMANTE,SEMISECOS,PERU
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,LICORES,,
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,LICORES,GIN,PURO
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,LICORES,GIN,SABORIZADO
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,LICORES,PISCO,MOSTO VERDE
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,LICORES,PISCO,PURO ACHOLADO
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,LICORES,PISCO,PURO ITALIA
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,LICORES,PISCO,PURO OTROS
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,LICORES,PISCO,PURO QUEBRANTA
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,LICORES,RON,BLANCO IMPORTADO
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,LICORES,RON,BLANCO NACIONAL
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,LICORES,RON,RUBIO IMPORTADO
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,LICORES,RON,RUBIO NACIONAL
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,LICORES,RON,SABORIZADO
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,LICORES,RTD,RTD
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,LICORES,VARIOS,AGUARDIENTE
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,LICORES,VARIOS,ANIS
ABARROTES,BEBIDAS,BEBIDAS CON ALCOHOL,LICORES,VARIOS,APERITIVO
