Cluster	Cluster Comercial	Cluster NSE	Cluster NSE Comercial	Codigo Local	Departamento	Director	Distrito	Estado	Formato Agrupado	formato	local	Local	Local 3A	tienda2	Provincia	Supervisor	Ubicacion
				M-381				A	01 PLAZA VEA	PLAZA VEA	M-381 - Qoyllur - PVH	M-381 - Qoyllur - PVH	NO	Qoyllur - PVH			
				M-384				A	01 PLAZA VEA	PLAZA VEA	M-384 - 	M-384 - 	NO				
				P286	Lima	Sergio Agnello		A	01 PLAZA VEA	PLAZA VEA	P286 - PVEA Sucre Antiguo	P286 - PVEA Sucre Antiguo	NO	PVEA Sucre Antiguo			Lima + Callao
				X000		'-		A	01 PLAZA VEA	PLAZA VEA	X000 - no_usar1	X000 - no_usar1	NO	no_usar1			Lima + Callao
			E	P782	Lima	Sergio Agnello	San Borja	A	01 PLAZA VEA	PLAZA VEA	P782 - DARK STORE VES	P782 - DARK STORE VES	NO	DARK STORE VES			Lima + Callao
		E	E	2899	Lima	Sergio Agnello	Punta Negra	A	01 PLAZA VEA	PLAZA VEA	2899 - Pv Ecomerce  Merma	2899 - Pv Ecomerce  Merma	NO	Pv Ecomerce  Merma	Lima		Lima + Callao
	BC2		BC	M-475				A	01 PLAZA VEA	PLAZA VEA	M-475 - Aventura SJL - PVH	M-475 - Aventura SJL - PVH	NO	Aventura SJL - PVH			Lima + Callao
A1	BC1	A	BC	P110	Lima	VERONICA VALDEZ	San Borja	A	01 PLAZA VEA	PLAZA VEA SUPER	P110 - Corpac - PVS	P110 - Corpac - PVS	NO	Corpac - PVS	Lima	DANIEL RODRIGUEZ	Lima + Callao
A1	K	A	K	P199	Lima	VERONICA VALDEZ	Lurin	A	01 PLAZA VEA	PLAZA VEA SUPER	P199 - Grifo Kio - PVS	P199 - Grifo Kio - PVS	NO	Grifo Kio - PVS	Lima	DANIEL RODRIGUEZ	Lima + Callao
A2	A2	A	A	P106	Lima	VERONICA VALDEZ	Santiago de Surco	A	01 PLAZA VEA	PLAZA VEA	P106 - Valle Hermoso - PVH	P106 - Valle Hermoso - PVH	NO	Valle Hermoso - PVH	Lima	DANIEL RODRIGUEZ	Lima + Callao
A2	A2	A	A	P109	Lima	VERONICA VALDEZ	San Isidro	A	01 PLAZA VEA	PLAZA VEA SUPER	P109 - Dasso - PVS	P109 - Dasso - PVS	NO	Dasso - PVS	Lima	DANIEL RODRIGUEZ	Lima + Callao
A2	A3	A	A	P010	Lima	VERONICA VALDEZ	Santiago de Surco	A	01 PLAZA VEA	PLAZA VEA SUPER	P010 - Caminos del Inca - PVS	P010 - Caminos del Inca - PVS	NO	Caminos del Inca - PVS	Lima	DANIEL RODRIGUEZ	Lima + Callao
A2	A3	A	A	P061	Lima	VERONICA VALDEZ	Barranco	A	01 PLAZA VEA	PLAZA VEA	P061 - Cortijo - PVH	P061 - Cortijo - PVH	NO	Cortijo - PVH	Lima	JOHANNA VILCA	Lima + Callao
A2	BC2	A	BC	1199	Lima	VERONICA VALDEZ	San Miguel	A	01 PLAZA VEA	PLAZA VEA	1199 - San Miguel - PVH	1199 - San Miguel - PVH	NO	San Miguel - PVH	Lima	VIK ENCISO	Lima + Callao
A2	BC2	A	BC	P132	Arequipa	VERONICA VALDEZ	Cayma	A	01 PLAZA VEA	PLAZA VEA SUPER	P132 - El Ejercito - PVS	P132 - El Ejercito - PVS	NO	El Ejercito - PVS	Arequipa	DANIEL RODRIGUEZ	Provincia
A2	BC2	A	BC	P139	Lima	VERONICA VALDEZ	Chorrillos	A	01 PLAZA VEA	PLAZA VEA SUPER	P139 - Alameda Sur - PVS	P139 - Alameda Sur - PVS	NO	Alameda Sur - PVS	Lima	DANIEL RODRIGUEZ	Lima + Callao
A3	A3	A	A	P064	Lima	VERONICA VALDEZ	Miraflores	A	01 PLAZA VEA	PLAZA VEA	P064 - Miraflores - PVH	P064 - Miraflores - PVH	NO	Miraflores - PVH	Lima	JOHANNA VILCA	Lima + Callao
A3	A3	A	A	P081	Lima	VERONICA VALDEZ	La Molina	A	01 PLAZA VEA	PLAZA VEA	P081 - La Molina - PVH	P081 - La Molina - PVH	NO	La Molina - PVH	Lima	JOHANNA VILCA	Lima + Callao
A3	A3	A	A	P195	Lima	VERONICA VALDEZ	San Borja	A	01 PLAZA VEA	PLAZA VEA	P195 - San Borja - PVH	P195 - San Borja - PVH	NO	San Borja - PVH	Lima	JOHANNA VILCA	Lima + Callao
A3	A3	A	A	P227	Lima	VERONICA VALDEZ	San Isidro	A	01 PLAZA VEA	PLAZA VEA	P227 - San Isidro - PVH	P227 - San Isidro - PVH	NO	San Isidro - PVH	Lima	JOHANNA VILCA	Lima + Callao
A3	BC3	A	BC	P037	Lima	VERONICA VALDEZ	Santiago de Surco	A	01 PLAZA VEA	PLAZA VEA	P037 - Jockey Plaza - PVH	P037 - Jockey Plaza - PVH	NO	Jockey Plaza - PVH	Lima	JOHANNA VILCA	Lima + Callao
A3	BC3	A	BC	P048	Lima	VERONICA VALDEZ	Santiago de Surco	A	01 PLAZA VEA	PLAZA VEA	P048 - Higuereta - PVH	P048 - Higuereta - PVH	NO	Higuereta - PVH	Lima	JOHANNA VILCA	Lima + Callao
A3	BC3	A	BC	P075	La Libertad	VERONICA VALDEZ	Trujillo	A	01 PLAZA VEA	PLAZA VEA	P075 - Trujillo - PVH	P075 - Trujillo - PVH	NO	Trujillo - PVH	Trujillo	MELANY ALVARADO	Provincia
A3	BC3	A	BC	P145	Piura	VERONICA VALDEZ	Piura	A	01 PLAZA VEA	PLAZA VEA	P145 - Piura - PVH	P145 - Piura - PVH	NO	Piura - PVH	Piura	MELANY ALVARADO	Provincia
A3	BC3	A	BC	P223	Cusco	VERONICA VALDEZ	Cusco	A	01 PLAZA VEA	PLAZA VEA	P223 - Cusco Mall - PVH	P223 - Cusco Mall - PVH	NO	Cusco Mall - PVH	Cusco	JOE HUAMANCONDOR	Provincia
A3	BC3	A	BC	P229	Lima	VERONICA VALDEZ	Jesus Maria	A	01 PLAZA VEA	PLAZA VEA	P229 - Salaverry - PVH	P229 - Salaverry - PVH	NO	Salaverry - PVH	Lima	JOHANNA VILCA	Lima + Callao
B1		B	B	P111	Lima	'-	San Miguel	A	01 PLAZA VEA	PLAZA VEA SUPER	P111 - SVEA San Miguel	P111 - SVEA San Miguel	NO	SVEA San Miguel			Lima + Callao
B1	BC1	B	BC	P178	Piura	Sergio Agnello	Piura	A	01 PLAZA VEA	PLAZA VEA SUPER	P178 - Multiplaza - PVS	P178 - Multiplaza - PVS	NO	Multiplaza - PVS	Piura	MELANY ALVARADO	Provincia
B1	BC1	B	BC	P193	La Libertad	VERONICA VALDEZ	Trujillo	A	01 PLAZA VEA	PLAZA VEA SUPER	P193 - Trujillo Mansiche - PVS	P193 - Trujillo Mansiche - PVS	NO	Trujillo Mansiche - PVS	Trujillo	Fátima León	Provincia
B1	BC2	B	BC	2638	Ayacucho	VERONICA VALDEZ	San Juan Bautista	A	01 PLAZA VEA	PLAZA VEA	2638 - SJB Ayacucho - PVH	2638 - SJB Ayacucho - PVH	NO	SJB Ayacucho - PVH	Huamanga	PEPE ARAMBURU	Provincia
B1	BC2	B	BC	P105	Lima	VERONICA VALDEZ	Ate	A	01 PLAZA VEA	PLAZA VEA SUPER	P105 - Salamanca - PVS	P105 - Salamanca - PVS	NO	Salamanca - PVS	Lima	DANIEL RODRIGUEZ	Lima + Callao
B1	BC2	B	BC	P107	Lima	VERONICA VALDEZ	Santiago de Surco	A	01 PLAZA VEA	PLAZA VEA SUPER	P107 - Mercaderes - PVS	P107 - Mercaderes - PVS	NO	Mercaderes - PVS	Lima	DANIEL RODRIGUEZ	Lima + Callao
B1	BC2	B	BC	P108	Lima	VERONICA VALDEZ	Santiago de Surco	A	01 PLAZA VEA	PLAZA VEA SUPER	P108 - Ayacucho - PVS	P108 - Ayacucho - PVS	NO	Ayacucho - PVS	Lima	DANIEL RODRIGUEZ	Lima + Callao
B1	BC2	B	BC	P156	Junin	VERONICA VALDEZ	Huancayo	A	01 PLAZA VEA	PLAZA VEA SUPER	P156 - El Tambo Huancayo - PVS	P156 - El Tambo Huancayo - PVS	NO	El Tambo Huancayo - PVS	Huancayo	DANIEL RODRIGUEZ	Provincia
B1	FP	B	FP	P220	La Libertad	VERONICA VALDEZ	Trujillo	A	01 PLAZA VEA	PLAZA VEA SUPER	P220 - Trujillo Valcarcel - PVS	P220 - Trujillo Valcarcel - PVS	NO	Trujillo Valcarcel - PVS	Trujillo	Fátima León	Provincia
B2	BC2	B	BC	1198	Cusco	VERONICA VALDEZ	Wanchaq	A	01 PLAZA VEA	PLAZA VEA	1198 - Cusco Wanchaq-PVH	1198 - Cusco Wanchaq-PVH	NO	Cusco Wanchaq-PVH	Cusco	JOE HUAMANCONDOR	Provincia
B2	BC2	B	BC	P001	Lima	VERONICA VALDEZ	Los Olivos	A	01 PLAZA VEA	PLAZA VEA	P001 - Los Olivos - PVH	P001 - Los Olivos - PVH	NO	Los Olivos - PVH	Lima	VIK ENCISO	Lima + Callao
B2	BC2	B	BC	P052	Lima	VERONICA VALDEZ	Jesus Maria	A	01 PLAZA VEA	PLAZA VEA	P052 - Brasil - PVH	P052 - Brasil - PVH	NO	Brasil - PVH	Lima	VIK ENCISO	Lima + Callao
B2	BC2	B	BC	P089	Lima	VERONICA VALDEZ	Lince	A	01 PLAZA VEA	PLAZA VEA	P089 - Risso - PVH	P089 - Risso - PVH	NO	Risso - PVH	Lima	VIK ENCISO	Lima + Callao
B2	BC2	B	BC	P096	Lima	VERONICA VALDEZ	La Molina	A	01 PLAZA VEA	PLAZA VEA SUPER	P096 - San Jorge - PVS	P096 - San Jorge - PVS	NO	San Jorge - PVS	Lima	DANIEL RODRIGUEZ	Lima + Callao
B2	BC2	B	BC	P130	Ancash	VERONICA VALDEZ	Chimbote	A	01 PLAZA VEA	PLAZA VEA	P130 - Chimbote - PVH	P130 - Chimbote - PVH	NO	Chimbote - PVH	Santa	MELANY ALVARADO	Provincia
