regional,supervisor,Año,Mes,nombre,Unid x Minuto,Meta Promedio,venta_unidad,tiempo_escaneo,Objetivo
Fátima León,Fátima León,2025,enero,Art Express - PVS,12.15,14.00,42769.505000000005,211273,14
Fátima León,Fátima León,2025,enero,Bolognesi - PVE,13.73,15.00,91909.46999999997,401716,15
Fátima León,Fátima León,2025,enero,Centro Trujillo - PVE,13.55,16.00,91187.37999999999,403902,16
Fátima León,Fátima León,2025,enero,Chorrillos Iglesias - PVS,10.01,12.00,97024.457,581476,12
Fátima León,Fátima León,2025,enero,Cine Rimac - PVS,12.49,14.00,101652.622,488343,14
Fátima León,Fátima León,2025,enero,Jiron de la Union - PVE,10.84,12.00,26467.785000000003,146548,12
Fátima León,Fátima León,2025,enero,La Paz - PVS,11.94,13.00,147695.613,742465,13
Fátima León,Fátima León,2025,enero,La Perla - PVS,10.60,12.00,140717.26400000002,796695,12
Fátima León,Fátima León,2025,enero,La Victoria PVS,12.19,13.00,74243.95499999999,365413,13
Fátima León,Fátima León,2025,enero,Santa Cruz - PVE,11.77,13.00,65658.04699999999,334802,13
Fátima León,Fátima León,2025,enero,Supermercados SKA - PVE,13.58,16.00,8020.625,35441,16
Fátima León,Fátima León,2025,enero,Trujillo Mansiche - PVS,15.23,17.00,122428.70999999996,482412,17
Fátima León,Fátima León,2025,enero,Trujillo Valcarcel - PVS,11.13,13.00,120396.14699999997,648774,13
Fátima León,Fátima León,2025,enero,Villa Marina - PVS,13.36,14.00,89363.31199999998,401386,14
Fátima León,Fátima León,2025,febrero,Art Express - PVS,13.87,14.00,43177.02500000001,186833,14
Fátima León,Fátima León,2025,febrero,Bolognesi - PVE,13.33,15.00,86538.74500000002,389480,15
Fátima León,Fátima León,2025,febrero,Centro Trujillo - PVE,13.23,16.00,94343.00499999999,427730,16
Fátima León,Fátima León,2025,febrero,Chorrillos Iglesias - PVS,10.12,12.00,95795.225,567855,12
Fátima León,Fátima León,2025,febrero,Cine Rimac - PVS,12.65,14.00,100926.07199999999,478545,14
Fátima León,Fátima León,2025,febrero,Jiron de la Union - PVE,11.15,12.00,24210.805,130291,12
Fátima León,Fátima León,2025,febrero,La Paz - PVS,11.72,13.00,134437.765,688179,13
Fátima León,Fátima León,2025,febrero,La Perla - PVS,10.14,12.00,121371.53899999996,717973,12
Fátima León,Fátima León,2025,febrero,La Victoria PVS,12.52,13.00,70151.285,336203,13
Fátima León,Fátima León,2025,febrero,Santa Cruz - PVE,12.21,13.00,63873.240999999995,313932,13
Fátima León,Fátima León,2025,febrero,Supermercados SKA - PVE,13.54,16.00,8032.85,35603,16
Fátima León,Fátima León,2025,febrero,Trujillo Mansiche - PVS,14.59,17.00,121999.49499999998,501622,17
Fátima León,Fátima León,2025,febrero,Trujillo Valcarcel - PVS,10.97,13.00,109615.16500000001,599498,13
Fátima León,Fátima León,2025,febrero,Villa Marina - PVS,14.10,14.00,88670.05500000001,377207,14
Fátima León,Fátima León,2025,marzo,Art Express - PVS,14.34,14.00,51748.47,216525,14
Fátima León,Fátima León,2025,marzo,Bolognesi - PVE,13.59,15.00,101266.08,446982,15
Fátima León,Fátima León,2025,marzo,Centro Trujillo - PVE,11.78,16.00,117647.07,599418,16
Fátima León,Fátima León,2025,marzo,Chorrillos Iglesias - PVS,10.07,12.00,109414.90999999999,651901,12
Fátima León,Fátima León,2025,marzo,Cine Rimac - PVS,12.80,14.00,117452.37099999998,550689,14
Fátima León,Fátima León,2025,marzo,Jiron de la Union - PVE,10.43,12.00,27619.659999999996,158832,12
Fátima León,Fátima León,2025,marzo,La Paz - PVS,12.28,13.00,161512.59699999995,788990,13
Fátima León,Fátima León,2025,marzo,La Perla - PVS,10.75,12.00,141150.209,787608,12
Fátima León,Fátima León,2025,marzo,La Victoria PVS,13.17,13.00,81104.235,369614,13
Fátima León,Fátima León,2025,marzo,Santa Cruz - PVE,11.40,13.00,73119.59499999999,384788,13
Fátima León,Fátima León,2025,marzo,Supermercados SKA - PVE,14.23,16.00,18682.23,78798,16
Fátima León,Fátima León,2025,marzo,Trujillo Mansiche - PVS,12.00,17.00,179709.03,898176,17
Fátima León,Fátima León,2025,marzo,Trujillo Valcarcel - PVS,10.66,13.00,130557.53300000001,734927,13
Fátima León,Fátima León,2025,marzo,Villa Marina - PVS,14.17,14.00,102654.96900000004,434603,14
Fátima León,Fátima León,2025,abril,Art Express - PVS,13.76,14.00,47035.37000000001,205027,14
Fátima León,Fátima León,2025,abril,Bolognesi - PVE,12.54,15.00,91266.01899999999,436723,15
Fátima León,Fátima León,2025,abril,Centro Trujillo - PVE,11.97,16.00,112953.90500000001,566085,16
Fátima León,Fátima León,2025,abril,Chorrillos Iglesias - PVS,9.60,12.00,91664.139,572728,12
Fátima León,Fátima León,2025,abril,Cine Rimac - PVS,12.47,14.00,107717.89300000003,518110,14
Fátima León,Fátima León,2025,abril,Jiron de la Union - PVE,10.01,12.00,26459.115000000005,158588,12
Fátima León,Fátima León,2025,abril,La Paz - PVS,11.77,13.00,139472.12,710691,13
Fátima León,Fátima León,2025,abril,La Perla - PVS,11.06,12.00,129016.21299999999,700161,12
Fátima León,Fátima León,2025,abril,La Victoria PVS,14.08,13.00,73421.157,312804,13
Fátima León,Fátima León,2025,abril,Santa Cruz - PVE,10.46,13.00,67906.436,389476,13
Fátima León,Fátima León,2025,abril,Supermercados SKA - PVE,13.10,16.00,15830.434999999998,72503,16
Fátima León,Fátima León,2025,abril,Trujillo Mansiche - PVS,12.47,17.00,156203.47999999992,751664,17
Fátima León,Fátima León,2025,abril,Trujillo Valcarcel - PVS,10.78,13.00,120327.761,669926,13
Fátima León,Fátima León,2025,abril,Villa Marina - PVS,13.16,14.00,86819.33499999999,395747,14
Fátima León,Fátima León,2025,mayo,Art Express - PVS,12.56,14.00,50329.100000000006,240446,14
Fátima León,Fátima León,2025,mayo,Bolognesi - PVE,12.97,15.00,94754.93,438273,15
Fátima León,Fátima León,2025,mayo,Centro Trujillo - PVE,12.57,16.00,102514.49,489500,16
Fátima León,Fátima León,2025,mayo,Chorrillos Iglesias - PVS,9.31,12.00,89905.39,579390,12
Fátima León,Fátima León,2025,mayo,Cine Rimac - PVS,12.38,14.00,103094.93000000002,499734,14
Fátima León,Fátima León,2025,mayo,Jiron de la Union - PVE,10.14,12.00,26234.11,155246,12
