Mes,nombre,Cumplimiento,Unid x Minuto
enero,Chiclayo - PVH,91.84 %,12.86
febrero,Chiclayo - PVH,94.56 %,13.24
marzo,Chiclayo - PVH,105.94 %,14.83
abril,Chiclayo - PVH,117.46 %,16.45
mayo,Chiclayo - PVH,111.66 %,15.63
junio,Chiclayo - PVH,95.69 %,13.40
enero,Chiclayo Aventura - PVH,85.09 %,11.91
febrero,Chiclayo Aventura - PVH,88.21 %,12.35
marzo,Chiclayo Aventura - PVH,93.10 %,13.03
abril,Chiclayo Aventura - PVH,103.96 %,14.55
mayo,Chiclayo Aventura - PVH,97.71 %,13.68
junio,Chiclayo Aventura - PVH,106.94 %,14.97
enero,Chimbote - PVH,89.82 %,13.47
febrero,Chimbote - PVH,99.27 %,14.89
marzo,Chimbote - PVH,101.56 %,15.23
abril,Chimbote - PVH,101.97 %,15.30
mayo,Chimbote - PVH,100.97 %,15.15
junio,Chimbote - PVH,98.52 %,14.78
enero,El Chacarero - PVH,98.30 %,13.76
febrero,El Chacarero - PVH,105.04 %,14.71
marzo,El Chacarero - PVH,109.94 %,15.39
abril,El Chacarero - PVH,104.16 %,14.58
mayo,El Chacarero - PVH,102.96 %,14.41
junio,El Chacarero - PVH,112.63 %,15.77
enero,Nvo Chimbote - PVH,80.77 %,11.31
febrero,Nvo Chimbote - PVH,88.04 %,12.33
marzo,Nvo Chimbote - PVH,96.27 %,13.48
abril,Nvo Chimbote - PVH,95.74 %,13.40
mayo,Nvo Chimbote - PVH,97.04 %,13.59
junio,Nvo Chimbote - PVH,101.63 %,14.23
enero,Paita - PVH,108.66 %,15.21
febrero,Paita - PVH,117.38 %,16.43
marzo,Paita - PVH,118.88 %,16.64
abril,Paita - PVH,119.17 %,16.68
mayo,Paita - PVH,116.77 %,16.35
junio,Paita - PVH,112.12 %,15.70
enero,Piura - PVH,95.24 %,13.33
febrero,Piura - PVH,99.38 %,13.91
marzo,Piura - PVH,101.81 %,14.25
abril,Piura - PVH,102.54 %,14.36
mayo,Piura - PVH,105.30 %,14.74
junio,Piura - PVH,107.67 %,15.07
enero,Sullana - PVH,87.12 %,24.39
febrero,Sullana - PVH,96.00 %,26.88
marzo,Sullana - PVH,85.40 %,23.91
abril,Sullana - PVH,83.23 %,23.30
mayo,Sullana - PVH,69.82 %,19.55
junio,Sullana - PVH,78.29 %,21.92
enero,Talara - PVH,87.33 %,12.23
febrero,Talara - PVH,88.17 %,12.34
marzo,Talara - PVH,89.78 %,12.57
abril,Talara - PVH,95.42 %,13.36
mayo,Talara - PVH,86.81 %,12.15
junio,Talara - PVH,86.93 %,12.17
enero,Talara Municipalidad - PVH,99.73 %,13.96
febrero,Talara Municipalidad - PVH,101.85 %,14.26
marzo,Talara Municipalidad - PVH,103.03 %,14.42
abril,Talara Municipalidad - PVH,100.73 %,14.10
mayo,Talara Municipalidad - PVH,102.21 %,14.31
junio,Talara Municipalidad - PVH,103.72 %,14.52
enero,Tumbes - PVH,91.60 %,12.82
febrero,Tumbes - PVH,88.81 %,12.43
marzo,Tumbes - PVH,95.49 %,13.37
abril,Tumbes - PVH,105.03 %,14.70
mayo,Tumbes - PVH,103.12 %,14.44
junio,Tumbes - PVH,104.23 %,14.59
