Año,Mes,Meta Promedio,Unid x Minuto
2025,enero,13.93,11.74
2025,febrero,13.93,12.01
2025,marzo,13.93,12.32
2025,abril,13.93,12.23
2025,mayo,13.93,12.17
2025,junio,13.93,11.93
2025,julio,13.93,12.48
2025,agosto,13.93,12.38
2025,septiembre,13.93,12.35
2025,octubre,13.93,12.63
2025,noviembre,13.93,12.64
2025,diciembre,13.93,12.25
2026,enero,13.93,11.15
2026,febrero,13.93,12.03
2026,marzo,13.93,12.96
2026,abril,13.93,13.52
2026,mayo,13.93,13.55
2026,junio,13.93,13.67
2026,julio,13.93,
2026,agosto,13.93,
2026,septiembre,13.93,
2026,octubre,13.93,
2026,noviembre,13.93,
2026,diciembre,13.93,
