nombre,Mes,Cobertura teórica,MINCajas abiertas_marcaciones_real necesario,Cobertura apoyo,Efectividad pronóstico
Chiclayo - PVH,enero,141 %,131 %,138 %,102 %
Chiclayo Aventura - PVH,enero,86 %,102 %,111 %,131 %
Chimbote - PVH,enero,137 %,129 %,133 %,104 %
El Chacarero - PVH,enero,91 %,90 %,142 %,106 %
Nvo Chimbote - PVH,enero,72 %,121 %,146 %,130 %
Paita - PVH,enero,122 %,132 %,141 %,110 %
Piura - PVH,enero,92 %,87 %,87 %,112 %
Sullana - PVH,enero,113 %,116 %,116 %,108 %
Talara - PVH,enero,126 %,141 %,141 %,121 %
Talara Municipalidad - PVH,enero,112 %,108 %,125 %,115 %
Tumbes - PVH,enero,92 %,121 %,121 %,133 %
Chiclayo - PVH,febrero,139 %,120 %,126 %,93 %
Chiclayo Aventura - PVH,febrero,86 %,85 %,104 %,115 %
Chimbote - PVH,febrero,121 %,107 %,122 %,97 %
El Chacarero - PVH,febrero,92 %,90 %,132 %,96 %
Nvo Chimbote - PVH,febrero,84 %,112 %,141 %,120 %
Paita - PVH,febrero,120 %,112 %,126 %,97 %
Piura - PVH,febrero,98 %,84 %,84 %,95 %
Sullana - PVH,febrero,121 %,113 %,115 %,100 %
Talara - PVH,febrero,127 %,135 %,138 %,111 %
Talara Municipalidad - PVH,febrero,110 %,106 %,121 %,102 %
Tumbes - PVH,febrero,98 %,115 %,125 %,127 %
Chiclayo - PVH,marzo,121 %,123 %,124 %,101 %
Chiclayo Aventura - PVH,marzo,60 %,61 %,89 %,96 %
Chimbote - PVH,marzo,119 %,111 %,122 %,99 %
El Chacarero - PVH,marzo,87 %,92 %,129 %,100 %
Nvo Chimbote - PVH,marzo,86 %,103 %,131 %,100 %
Paita - PVH,marzo,111 %,115 %,117 %,98 %
Piura - PVH,marzo,101 %,86 %,86 %,97 %
Sullana - PVH,marzo,109 %,112 %,112 %,100 %
Talara - PVH,marzo,125 %,129 %,129 %,104 %
Talara Municipalidad - PVH,marzo,104 %,112 %,119 %,105 %
Tumbes - PVH,marzo,112 %,122 %,122 %,107 %
Chiclayo - PVH,abril,118 %,111 %,113 %,97 %
Chiclayo Aventura - PVH,abril,49 %,50 %,76 %,98 %
Chimbote - PVH,abril,116 %,115 %,115 %,100 %
El Chacarero - PVH,abril,81 %,96 %,120 %,98 %
Nvo Chimbote - PVH,abril,83 %,89 %,120 %,97 %
Paita - PVH,abril,103 %,106 %,106 %,99 %
Piura - PVH,abril,94 %,75 %,75 %,96 %
Sullana - PVH,abril,108 %,105 %,105 %,102 %
Talara - PVH,abril,116 %,120 %,120 %,105 %
Talara Municipalidad - PVH,abril,101 %,105 %,107 %,101 %
Tumbes - PVH,abril,81 %,78 %,85 %,96 %
Chiclayo - PVH,mayo,112 %,113 %,117 %,103 %
Chiclayo Aventura - PVH,mayo,46 %,54 %,79 %,106 %
Chimbote - PVH,mayo,127 %,130 %,130 %,105 %
El Chacarero - PVH,mayo,106 %,118 %,127 %,105 %
Nvo Chimbote - PVH,mayo,74 %,90 %,119 %,104 %
Paita - PVH,mayo,101 %,115 %,115 %,108 %
Piura - PVH,mayo,85 %,81 %,81 %,104 %
Sullana - PVH,mayo,112 %,115 %,115 %,108 %
Talara - PVH,mayo,113 %,126 %,126 %,115 %
Talara Municipalidad - PVH,mayo,97 %,101 %,109 %,101 %
Tumbes - PVH,mayo,89 %,90 %,90 %,108 %
Chiclayo - PVH,junio,115 %,115 %,118 %,104 %
Chiclayo Aventura - PVH,junio,48 %,54 %,77 %,111 %
Chimbote - PVH,junio,131 %,129 %,129 %,106 %
El Chacarero - PVH,junio,115 %,122 %,122 %,103 %
Nvo Chimbote - PVH,junio,61 %,70 %,115 %,103 %
Paita - PVH,junio,108 %,120 %,120 %,111 %
Piura - PVH,junio,97 %,83 %,83 %,108 %
Sullana - PVH,junio,134 %,130 %,130 %,111 %
Talara - PVH,junio,120 %,151 %,151 %,139 %
Talara Municipalidad - PVH,junio,100 %,106 %,110 %,104 %
Tumbes - PVH,junio,67 %,92 %,98 %,118 %
